decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason,future_return,p_pos_calib
2025-08-03 22:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-03 23:00:00,114324.84,2025-08-04 00:00:00,114135.4857142857,0.0007872304916411,90.0,-0.1490654674372256,0.1798509345325628,0.0899254672662814,-0.4188418692360698,999.581158130764,121572.01548163051,121572.01548163051,121572.01548163051,0.063391176541706,0.063391176541706,0.063391176541706,1.0,False,trailing_sl,-0.0016562829715247298,0.5135135135135135
2025-08-03 23:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 00:00:00,114208.81,2025-08-04 00:00:00,114135.4857142857,0.0007877002153491,89.96230423176875,-0.0577575556474682,0.17986685090789,0.089933425453945,-0.3275578320093033,999.2536002987546,121455.79332331024,121455.79332331024,121455.79332331024,0.0634538960510068,0.0634538960510068,0.0634538960510068,1.0,False,trailing_sl,-0.0006420195229622868,0.5135135135135135
2025-08-04 01:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 02:00:00,114671.96,2025-08-04 06:00:00,114423.76,0.0007842616802476,89.93282402688791,-0.1946537490374685,0.1796709943047383,0.0898354971523691,-0.464160240494576,998.78944005826,121572.01548163051,121572.01548163051,121572.01548163051,0.0601721247428798,0.0601721247428798,0.0601721247428798,1.0,False,time_exit,-0.0021644349673626546,0.5135135135135135
2025-08-04 05:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 06:00:00,114391.26,2025-08-04 10:00:00,114251.83,0.0007858209587449,89.8910496052434,-0.1095670162778035,0.179672532194209,0.0898362660971045,-0.379075814569117,998.4103642436908,121283.64276957395,121283.64276957395,121283.64276957395,0.0602527043549828,0.0602527043549828,0.0602527043549828,1.0,False,time_exit,-0.0012188868275425327,0.5135135135135135
2025-08-04 09:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 10:00:00,114325.92,2025-08-04 14:00:00,114669.65,0.0007859716570129,89.85693278193217,0.2701620376650647,0.1799840276015294,0.0899920138007647,0.0001859962627706,998.4105502399536,121572.01548163051,121572.01548163051,121572.01548163051,0.0633810380150934,0.0633810380150934,0.0633810380150934,1.0,False,trailing_sl,0.00300657978523152,0.5135135135135135
2025-08-04 13:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 14:00:00,114913.89,2025-08-04 14:00:00,114669.65,0.000781950289226,89.85694952159582,-0.1909835386405859,0.179522915504551,0.0897614577522755,-0.4602679118974124,997.9502823280562,121290.6880822753,121290.6880822753,121290.6880822753,0.0554920613791414,0.0554920613791414,0.0554920613791414,1.0,False,trailing_sl,-0.002125417562663706,0.5135135135135135
2025-08-04 14:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 15:00:00,114736.78,2025-08-04 19:00:00,114851.74285714286,0.0007827962873764,89.81552540952505,0.0899924977576181,0.1797210433168077,0.0898605216584038,-0.1795890672175934,997.7706932608386,121572.01548163051,121572.01548163051,121572.01548163051,0.0595731855263022,0.0595731855263022,0.0595731855263022,1.0,False,trailing_sl,0.0010019703981832334,0.5135135135135135
2025-08-04 19:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 20:00:00,114777.62,2025-08-05 00:00:00,114886.96,0.0007823769337042,89.79936239347546,0.085545093931235,0.1796842698808821,0.089842134940441,-0.1839813108900881,997.5867119499484,121507.59166506169,121507.59166506169,121507.59166506169,0.0586348772963029,0.0586348772963029,0.0586348772963029,1.0,False,time_exit,0.0009526247364251939,0.5135135135135135
2025-08-04 23:00:00,2025-07-28 23:00:00,STRONG_BUY,LONG,2025-08-05 00:00:00,115055.03,2025-08-05 04:00:00,114234.14,0.0007803466226161,89.78280407549536,-0.6405787390393392,0.1789250294119514,0.0894625147059757,-0.9089662831572662,996.6777456667912,121142.9285868449,121142.9285868449,121142.9285868449,0.0529129285946463,0.0529129285946463,0.0529129285946463,1.0,False,trailing_sl,-0.007134759775387477,0.5135135135135135
2025-08-05 03:00:00,2025-07-28 23:00:00,STRONG_BUY,LONG,2025-08-05 04:00:00,114256.85,2025-08-05 07:00:00,113777.06857142858,0.0007850820069869,89.7009971100112,-0.3766677668579397,0.1790253264531644,0.0895126632265822,-0.6452057565376864,996.0325399102536,118381.12962538758,118381.12962538758,118381.12962538758,0.0360965633604249,0.0360965633604249,0.0360965633604249,1.0,False,trailing_sl,-0.004199148047328687,0.5135135135135135
