decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-06-14 20:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.08285746154740337,-0.020518420020443164,0.18623334311524992,0.08285746154740337,-0.020518420020443164,0.18623334311524992,0.5,True,none
2025-06-15 00:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,-0.029841103707241842,-0.20263225563545484,0.14295004822097118,-0.029841103707241842,-0.20263225563545484,0.14295004822097118,0.5,True,none
2025-06-15 04:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-15 08:00:00,105428.0,2025-06-16 04:00:00,106951.67357142858,0.000853663163485981,90.0,-1.3007040011057003,0.1813007040011057,0.09065035200055285,-1.5726550571073588,998.4273449428927,-0.13272218185715687,-0.20540945596708882,-0.06003490774722491,-0.13272218185715687,-0.20540945596708882,-0.06003490774722491,0.0,True,trailing_sl
2025-06-15 08:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.0029726181543217323,-0.17501256348354835,0.16906732717490489,-0.0029726181543217323,-0.17501256348354835,0.16906732717490489,0.5,True,none
2025-06-15 12:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.07833467987140852,-0.13271051300011785,-0.023958846742699193,-0.07833467987140852,-0.13271051300011785,-0.023958846742699193,0.0,True,none
2025-06-15 16:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.15253394821774685,-0.2153635748558802,-0.08970432157961351,-0.15253394821774685,-0.2153635748558802,-0.08970432157961351,0.0,True,none
2025-06-15 20:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.028600455413092363,-0.03471161149749086,-0.022489299328693868,-0.028600455413092363,-0.03471161149749086,-0.022489299328693868,0.0,True,none
2025-06-16 00:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,0.06900493808088726,0.0060164222392001965,0.1319934539225743,0.06900493808088726,0.0060164222392001965,0.1319934539225743,0.5,True,none
2025-06-16 04:00:00,2025-05-18,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.010836780268302895,-0.032601638049291004,0.010928077512685215,-0.010836780268302895,-0.032601638049291004,0.010928077512685215,0.5,True,none
2025-06-16 08:00:00,2025-05-18,STRONG_SELL,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.2280060971586831,-0.2813010778960287,-0.17471111642133752,-0.2280060971586831,-0.2813010778960287,-0.17471111642133752,0.0,True,none
2025-06-16 12:00:00,2025-05-18,STRONG_SELL,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4273449428927,-0.1766162744909155,-0.27102311336247514,-0.08220943561935584,-0.1766162744909155,-0.27102311336247514,-0.08220943561935584,0.0,True,none
