prob,thr,atr_mult,n_trades,avg_net_return_pct,total_net_return_pct,win_rate,avg_net_return_ci_l,avg_net_return_ci_u,hold
0.9,0.01,2.0,63,-0.0024303420808299303,-0.1531115510922856,0.3492063492063492,-0.004625195496028251,-0.00041367882843364255,12
0.95,0.01,2.0,63,-0.0024303420808299303,-0.1531115510922856,0.3492063492063492,-0.004899949411961636,-0.0002959189442190645,12
0.9,0.01,1.5,63,-0.002526766900429191,-0.15918631472703904,0.30158730158730157,-0.004309630421418481,-0.0009187425662201761,4
0.95,0.01,1.5,63,-0.002526766900429191,-0.15918631472703904,0.30158730158730157,-0.003958993115005731,-0.0010315969259345394,4
0.9,0.01,3.0,63,-0.002530485273906769,-0.15942057225612646,0.36507936507936506,-0.004979284923975282,-1.2527432225675509e-05,12
0.95,0.01,3.0,63,-0.002530485273906769,-0.15942057225612646,0.36507936507936506,-0.005215551644714004,5.977784376157206e-05,12
0.9,0.01,1.5,63,-0.0026378588517122605,-0.16618510765787242,0.30158730158730157,-0.004579233885703878,-0.00033682193618327636,12
0.95,0.01,1.5,63,-0.0026378588517122605,-0.16618510765787242,0.30158730158730157,-0.004717855746984443,-0.0004206508706460535,12
0.9,0.01,1.5,63,-0.0027407473725470683,-0.1726670844704653,0.3492063492063492,-0.004318426702557175,-0.000896548665887534,8
0.95,0.01,1.5,63,-0.0027407473725470683,-0.1726670844704653,0.3492063492063492,-0.004541122591198004,-0.0009724205035108753,8
0.9,0.01,2.0,63,-0.0027750156740659507,-0.17482598746615488,0.36507936507936506,-0.004668574277546169,-0.0009557409371192024,8
0.95,0.01,2.0,63,-0.0027750156740659507,-0.17482598746615488,0.36507936507936506,-0.004668812703320596,-0.001140742263350382,8
0.9,0.01,3.0,63,-0.002783004980945704,-0.17532931379957936,0.38095238095238093,-0.004662911175734984,-0.0008748004097198618,8
0.95,0.01,3.0,63,-0.002783004980945704,-0.17532931379957936,0.38095238095238093,-0.004664487539743947,-0.0007734037778986965,8
0.9,0.01,2.0,63,-0.002867000739452236,-0.18062104658549089,0.30158730158730157,-0.004402720770118713,-0.0013168047821781504,4
0.95,0.01,2.0,63,-0.002867000739452236,-0.18062104658549089,0.30158730158730157,-0.004494649507124174,-0.0013852073090602315,4
0.9,0.02,1.5,49,-0.0028674183169425617,-0.1405034975301855,0.3673469387755102,-0.004669548058878499,-0.0007209351740263192,8
0.95,0.02,1.5,49,-0.0028674183169425617,-0.1405034975301855,0.3673469387755102,-0.004654797920602599,-0.0009072437796301642,8
0.9,0.02,1.5,49,-0.0028701658799421418,-0.14063812811716495,0.32653061224489793,-0.004328754089102691,-0.0010931960646559363,4
0.95,0.02,1.5,49,-0.0028701658799421418,-0.14063812811716495,0.32653061224489793,-0.0046089225413188705,-0.0013710432750619235,4
0.9,0.02,1.5,49,-0.0028941145755768845,-0.14181161420326735,0.30612244897959184,-0.005055114525412998,-0.0001675762192501187,12
0.95,0.02,1.5,49,-0.0028941145755768845,-0.14181161420326735,0.30612244897959184,-0.005083856455949702,-0.0006438912839824644,12
0.9,0.01,3.0,63,-0.0029361664536579975,-0.18497848658045385,0.30158730158730157,-0.004404830800984023,-0.001244942884134559,4
0.95,0.01,3.0,63,-0.0029361664536579975,-0.18497848658045385,0.30158730158730157,-0.004545885339888064,-0.0011078368531096266,4
0.9,0.02,2.0,49,-0.0029647947498812745,-0.14527494274418246,0.3469387755102041,-0.005403845881013431,-0.00016038630890465055,12
0.95,0.02,2.0,49,-0.0029647947498812745,-0.14527494274418246,0.3469387755102041,-0.0055929527656306665,-0.0006947562073855294,12
0.9,0.01,2.0,63,-0.0029958735880592897,-0.18874003604773526,0.31746031746031744,-0.004820466211870591,-0.0015671757329137547,6
0.95,0.01,2.0,63,-0.0029958735880592897,-0.18874003604773526,0.31746031746031744,-0.00487022408023119,-0.001413960880157619,6
0.9,0.02,1.5,49,-0.003025206230226639,-0.1482351052811053,0.30612244897959184,-0.004947481160165863,-0.0012342127516198511,6
0.95,0.02,1.5,49,-0.003025206230226639,-0.1482351052811053,0.30612244897959184,-0.0049374120508999106,-0.000921813047176497,6
0.9,0.01,3.0,63,-0.003026764661289428,-0.19068617366123397,0.31746031746031744,-0.004801450555129041,-0.0013516977802194728,6
0.95,0.01,3.0,63,-0.003026764661289428,-0.19068617366123397,0.31746031746031744,-0.004613205317756766,-0.0015575867223620791,6
0.9,0.01,1.5,63,-0.0030317534272509125,-0.1910004659168075,0.30158730158730157,-0.004458034728483618,-0.0013908377686868815,6
0.95,0.01,1.5,63,-0.0030317534272509125,-0.1910004659168075,0.30158730158730157,-0.004459820836522706,-0.0010987372364780704,6
0.9,0.03,1.5,41,-0.003057262250903308,-0.12534775228703562,0.34146341463414637,-0.00466545753197458,-0.0014878136897099215,4
0.95,0.03,1.5,41,-0.003057262250903308,-0.12534775228703562,0.34146341463414637,-0.004634505717772228,-0.001252257555910416,4
0.9,0.03,1.5,41,-0.003230025827167649,-0.1324310589138736,0.3170731707317073,-0.004879493703281777,-0.0013941488710401992,6
0.95,0.03,1.5,41,-0.003230025827167649,-0.1324310589138736,0.3170731707317073,-0.005095301511586032,-0.001495594023337212,6
0.9,0.02,2.0,49,-0.00327511842387996,-0.16048080277011803,0.3673469387755102,-0.005255094269701094,-0.0014060091578748243,8
0.95,0.02,2.0,49,-0.00327511842387996,-0.16048080277011803,0.3673469387755102,-0.005375976937066315,-0.0013665278847033997,8
0.9,0.02,3.0,49,-0.003285182356833923,-0.16097393548486222,0.3673469387755102,-0.005890669638645057,-0.00036854847289441136,12
0.95,0.02,3.0,49,-0.003285182356833923,-0.16097393548486222,0.3673469387755102,-0.006220457502086059,-0.000470190724714978,12
0.9,0.02,3.0,49,-0.0032868957582003868,-0.16105789215181895,0.3877551020408163,-0.005573179089053334,-0.0011271574969264305,8
0.95,0.02,3.0,49,-0.0032868957582003868,-0.16105789215181895,0.3877551020408163,-0.005487875501477547,-0.0009433418278484455,8
0.9,0.02,2.0,49,-0.003308644281296872,-0.16212356978354672,0.30612244897959184,-0.005070300614612021,-0.0014777992019726664,6
0.95,0.02,2.0,49,-0.003308644281296872,-0.16212356978354672,0.30612244897959184,-0.005108500679937897,-0.0011666394649312577,6
0.9,0.02,3.0,49,-0.0033936243341873844,-0.16628759237518184,0.30612244897959184,-0.005584036218033491,-0.001510261161475774,6
0.95,0.02,3.0,49,-0.0033936243341873844,-0.16628759237518184,0.30612244897959184,-0.005367558426303858,-0.0014491649971897277,6
0.9,0.02,2.0,49,-0.003405955855985685,-0.16689183694329857,0.32653061224489793,-0.0051904850647049175,-0.001671021229275664,4
0.95,0.02,2.0,49,-0.003405955855985685,-0.16689183694329857,0.32653061224489793,-0.005177311525744803,-0.0016198026311587143,4
0.9,0.03,1.5,41,-0.0034232867104005667,-0.14035475512642323,0.34146341463414637,-0.005474780787608944,-0.001729107559458625,8
0.95,0.03,1.5,41,-0.0034232867104005667,-0.14035475512642323,0.34146341463414637,-0.005209462729530037,-0.0010999785477729407,8
0.9,0.02,3.0,49,-0.0034948832028216643,-0.17124927693826156,0.32653061224489793,-0.005337932083174741,-0.001353055501698574,4
0.95,0.02,3.0,49,-0.0034948832028216643,-0.17124927693826156,0.32653061224489793,-0.005475026673625394,-0.0018921092977544666,4
0.9,0.03,2.0,41,-0.003566208054658142,-0.14621453024098383,0.3170731707317073,-0.005481452593242232,-0.0016933474634781682,6
0.95,0.03,2.0,41,-0.003566208054658142,-0.14621453024098383,0.3170731707317073,-0.005582655231516027,-0.0014001535730774307,6
0.9,0.03,2.0,41,-0.0036228056106492653,-0.1485350300366199,0.34146341463414637,-0.005472917149071036,-0.0017487269934017748,4
0.95,0.03,2.0,41,-0.0036228056106492653,-0.1485350300366199,0.34146341463414637,-0.005631652024236769,-0.0017121354000024622,4
0.9,0.03,3.0,41,-0.0037966313848179127,-0.15566188677753443,0.3170731707317073,-0.006045896191457817,-0.0018730274535302223,6
0.95,0.03,3.0,41,-0.0037966313848179127,-0.15566188677753443,0.3170731707317073,-0.005891906698999259,-0.0016312999287688874,6
0.9,0.03,3.0,41,-0.003862093894970597,-0.15834584969379448,0.34146341463414637,-0.005799721713232652,-0.0018545181724498611,4
0.95,0.03,3.0,41,-0.003862093894970597,-0.15834584969379448,0.34146341463414637,-0.006006003797592951,-0.0018988310318600874,4
0.9,0.03,2.0,41,-0.0038887125641779044,-0.15943721513129408,0.34146341463414637,-0.006323489504329577,-0.001637229713816418,8
0.95,0.03,2.0,41,-0.0038887125641779044,-0.15943721513129408,0.34146341463414637,-0.006096445661240505,-0.0019995296647182816,8
0.9,0.03,1.5,41,-0.003945880078793252,-0.16178108323052334,0.24390243902439024,-0.006139243965288232,-0.0016840978893952916,12
0.95,0.03,1.5,41,-0.003945880078793252,-0.16178108323052334,0.24390243902439024,-0.005918700324348436,-0.0015831140232560523,12
0.9,0.03,3.0,41,-0.004153740935595086,-0.17030337835939854,0.34146341463414637,-0.006695123797342651,-0.002154458697927483,8
0.95,0.03,3.0,41,-0.004153740935595086,-0.17030337835939854,0.34146341463414637,-0.006321333394719053,-0.0018506141299040118,8
0.9,0.03,2.0,41,-0.004261628770177907,-0.17472677957729418,0.2682926829268293,-0.006802909007673129,-0.0014966205853086843,12
0.95,0.03,2.0,41,-0.004261628770177907,-0.17472677957729418,0.2682926829268293,-0.006448488741023032,-0.0015763400220629152,12
0.9,0.03,3.0,41,-0.004912633903217585,-0.201417990031921,0.2682926829268293,-0.007665729235010314,-0.0016595609417757095,12
0.95,0.03,3.0,41,-0.004912633903217585,-0.201417990031921,0.2682926829268293,-0.007928513818668196,-0.0018592595975159036,12
