decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason,p_pos_bucket
2025-06-15 04:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-15 08:00:00,105428.0,2025-06-16 00:00:00,105723.10178571429,0.0008536631634859,90.0,-0.2519175239432202,0.1802519175239432,0.0901259587619716,-0.5222954002291351,999.4777045997708,-0.1327221818571568,-0.2054094559670888,-0.0600349077472249,-0.1327221818571568,-0.2054094559670888,-0.0600349077472249,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-15 20:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-16 00:00:00,105594.02,2025-06-16 04:00:00,106174.43642857144,0.0008518758298431,89.95299341397937,-0.4944427267439055,0.1804004295547026,0.0902002147773513,-0.7650433710759594,998.7126612286949,-0.0286004554130923,-0.0347116114974908,-0.0224892993286938,-0.0286004554130923,-0.0347116114974908,-0.0224892993286938,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-16 08:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-16 12:00:00,106884.0,2025-06-16 12:00:00,107746.26142857142,0.0008409503715297,89.88413951058253,-0.7251190687128845,0.1804933980898779,0.0902466990449389,-0.9958591658477014,997.7168020628473,-0.2280060971586831,-0.2813010778960287,-0.1747111164213375,-0.2280060971586831,-0.2813010778960287,-0.1747111164213375,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-16 12:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-16 16:00:00,107424.96,2025-06-16 16:00:00,108697.7375,0.0008358812717794,89.79451218565625,-1.0638908753922502,0.1806529152467047,0.0903264576233523,-1.3348702482623074,996.3819318145848,-0.1766162744909155,-0.2710231133624751,-0.0822094356193558,-0.1766162744909155,-0.2710231133624751,-0.0822094356193558,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-17 16:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-17 20:00:00,104686.12,2025-06-18 20:00:00,104886.78,0.0008566023257267,89.67437386331264,-0.1718858226803384,0.1795206335493056,0.0897603167746528,-0.4411667730042968,995.9407650415806,-0.0520946212882988,-0.0706807168673033,-0.0335085257092944,-0.0520946212882988,-0.0706807168673033,-0.0335085257092944,0.0,True,time_exit,"(-0.001, 1.0]"
2025-06-18 16:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-18 20:00:00,103808.41,2025-06-19 20:00:00,104658.59,0.0008634624964754,89.63466885374224,-0.7340985452534525,0.1800034362527379,0.0900017181263689,-1.0041036996325594,994.936661341948,-0.1597971450232699,-0.267659287468946,-0.0519350025775937,-0.1597971450232699,-0.267659287468946,-0.0519350025775937,0.0,True,time_exit,"(-0.001, 1.0]"
2025-06-19 20:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-20 00:00:00,104658.59,2025-06-20 04:00:00,105681.37035714286,0.0008555848069496,89.54429952077533,-0.8750753344180007,0.1799636743759686,0.0899818371879843,-1.1450208459819535,993.791640495966,-0.1621908406325956,-0.2681380265908112,-0.05624365467438,-0.1621908406325956,-0.2681380265908112,-0.05624365467438,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-20 00:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-20 04:00:00,104596.64,2025-06-20 04:00:00,105681.37035714286,0.0008551063174174,89.44124764463695,-0.9275597810873308,0.1798100550703612,0.0899050275351806,-1.1972748636928727,992.5943656322733,-0.0919915981777005,-0.1372717577176352,-0.0467114386377657,-0.0919915981777005,-0.1372717577176352,-0.0467114386377657,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-20 08:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-20 12:00:00,105977.82,2025-06-20 12:00:00,105473.93928571428,0.0008429451833119,89.33349290690458,0.4247438210709552,0.1782422419927382,0.0891211209963691,0.1573804580818479,992.751746090355,-0.1183210701515299,-0.1299733453140086,-0.1066687949890513,-0.1183210701515299,-0.1299733453140086,-0.1066687949890513,0.0,True,trailing_sl,"(-0.001, 1.0]"
2025-06-20 16:00:00,2025-05-18,STRONG_SELL,SHORT,2025-06-20 20:00:00,103307.21,2025-06-21 20:00:00,102441.82,0.0008648733921681,89.34765714813194,0.7484527848484452,0.1779468615114154,0.0889734307557077,0.481532492581322,993.2332785829364,-0.1456522531605981,-0.253055570051724,-0.0382489362694722,-0.1456522531605981,-0.253055570051724,-0.0382489362694722,0.0,True,trailing_sl,"(-0.001, 1.0]"
