number,value,datetime_start,datetime_complete,duration,params_atr_multiplier_stop,params_input_chunk_length,params_layer_widths,params_num_blocks,params_num_layers,params_prob_threshold,params_risk_per_trade,params_threshold_pct,params_use_vol_sizing,params_use_wavelet,user_attrs_metrics,state
29,-18.275065989180437,2025-08-20 21:24:52.679040,2025-08-20 21:28:44.175420,0 days 00:03:51.496380,2.5,48,128,2,4,0.85,0.005,0.002,True,False,"{'final_capital': 993.6343074410617, 'total_return_pct': -0.6365692558938374, 'ann_sharpe': -18.275065989180437, 'max_drawdown_pct': -0.6133959751130809, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.21218975196461215, 'profit_factor': 0.06375346385844875, 'avg_pnl_ci_l': -0.2983826734208005, 'avg_pnl_ci_u': -0.14325811417818116}",COMPLETE
39,-18.275065989180437,2025-08-20 22:16:16.887884,2025-08-20 22:20:03.275124,0 days 00:03:46.387240,2.5,48,128,2,4,0.95,0.01,0.002,False,False,"{'final_capital': 993.6343074410617, 'total_return_pct': -0.6365692558938374, 'ann_sharpe': -18.275065989180437, 'max_drawdown_pct': -0.6133959751130809, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.21218975196461215, 'profit_factor': 0.06375346385844875, 'avg_pnl_ci_l': -0.2946465614057242, 'avg_pnl_ci_u': -0.14216706093553175}",COMPLETE
98,-18.275065989180437,2025-08-21 04:10:17.541058,2025-08-21 04:13:57.049220,0 days 00:03:39.508162,2.5,48,128,2,4,0.95,0.01,0.002,True,False,"{'final_capital': 993.6343074410617, 'total_return_pct': -0.6365692558938374, 'ann_sharpe': -18.275065989180437, 'max_drawdown_pct': -0.6133959751130809, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.21218975196461215, 'profit_factor': 0.06375346385844875, 'avg_pnl_ci_l': -0.28124694941705397, 'avg_pnl_ci_u': -0.14298671892050954}",COMPLETE
70,-18.275065989180437,2025-08-21 01:22:28.535860,2025-08-21 01:26:57.202484,0 days 00:04:28.666624,2.5,48,128,2,4,0.85,0.01,0.002,True,False,"{'final_capital': 993.6343074410617, 'total_return_pct': -0.6365692558938374, 'ann_sharpe': -18.275065989180437, 'max_drawdown_pct': -0.6133959751130809, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.21218975196461215, 'profit_factor': 0.06375346385844875, 'avg_pnl_ci_l': -0.2969589164759376, 'avg_pnl_ci_u': -0.13507735753701933}",COMPLETE
47,-18.275065989180437,2025-08-20 23:03:29.809305,2025-08-20 23:07:55.428645,0 days 00:04:25.619340,2.5,48,128,2,4,0.85,0.01,0.002,True,True,"{'final_capital': 993.6343074410617, 'total_return_pct': -0.6365692558938374, 'ann_sharpe': -18.275065989180437, 'max_drawdown_pct': -0.6133959751130809, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.21218975196461215, 'profit_factor': 0.06375346385844875, 'avg_pnl_ci_l': -0.28577499451624144, 'avg_pnl_ci_u': -0.13685331053711372}",COMPLETE
0,-18.548457983409527,2025-08-20 18:58:05.426358,2025-08-20 19:02:27.883014,0 days 00:04:22.456656,2.0,48,128,2,4,0.9,0.005,0.002,True,False,"{'final_capital': 994.0787152352227, 'total_return_pct': -0.5921284764777268, 'ann_sharpe': -18.548457983409527, 'max_drawdown_pct': -0.568944831334031, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.19737615882590903, 'profit_factor': 0.06824036827721633, 'avg_pnl_ci_l': -0.2663548026824717, 'avg_pnl_ci_u': -0.13089655464618355}",COMPLETE
35,-18.548457983409527,2025-08-20 21:58:01.351718,2025-08-20 22:01:48.651810,0 days 00:03:47.300092,2.0,48,128,2,4,0.95,0.01,0.002,True,False,"{'final_capital': 994.0787152352227, 'total_return_pct': -0.5921284764777268, 'ann_sharpe': -18.548457983409527, 'max_drawdown_pct': -0.568944831334031, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.19737615882590903, 'profit_factor': 0.06824036827721633, 'avg_pnl_ci_l': -0.26786939746017274, 'avg_pnl_ci_u': -0.14346924923300697}",COMPLETE
60,-18.63887477633882,2025-08-21 00:21:09.611395,2025-08-21 00:25:31.800852,0 days 00:04:22.189457,1.5,72,128,2,4,0.95,0.005,0.005,True,False,"{'final_capital': 994.8675356197648, 'total_return_pct': -0.513246438023518, 'ann_sharpe': -18.63887477633882, 'max_drawdown_pct': -0.490044396216061, 'num_executed': 30, 'win_rate': 0.2, 'avg_pnl': -0.17108214600784893, 'profit_factor': 0.10541756526735077, 'avg_pnl_ci_l': -0.2258201540293617, 'avg_pnl_ci_u': -0.11645007270175814}",COMPLETE
66,-18.72728368760404,2025-08-21 00:58:45.768713,2025-08-21 01:04:14.571637,0 days 00:05:28.802924,2.0,48,128,3,3,0.95,0.01,0.002,False,False,"{'final_capital': 993.472161499171, 'total_return_pct': -0.6527838500829053, 'ann_sharpe': -18.72728368760404, 'max_drawdown_pct': -0.6306553556073149, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.21057543551060814, 'profit_factor': 0.05176268789755786, 'avg_pnl_ci_l': -0.27385366751329726, 'avg_pnl_ci_u': -0.14403678629265165}",COMPLETE
6,-18.727874490585215,2025-08-20 19:24:37.642101,2025-08-20 19:28:39.852964,0 days 00:04:02.210863,2.5,72,64,3,3,0.9,0.005,0.005,True,False,"{'final_capital': 993.1563860185166, 'total_return_pct': -0.6843613981483365, 'ann_sharpe': -18.727874490585215, 'max_drawdown_pct': -0.6611992633266476, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.22812046604945405, 'profit_factor': 0.059551488506521255, 'avg_pnl_ci_l': -0.296745450410945, 'avg_pnl_ci_u': -0.15787032576682822}",COMPLETE
58,-19.06694403273369,2025-08-21 00:09:06.355313,2025-08-21 00:14:32.717314,0 days 00:05:26.362001,2.5,48,128,3,3,0.9,0.01,0.002,False,True,"{'final_capital': 993.7583962844279, 'total_return_pct': -0.624160371557203, 'ann_sharpe': -19.06694403273369, 'max_drawdown_pct': -0.602025501518098, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.20134205534103017, 'profit_factor': 0.05399230569860749, 'avg_pnl_ci_l': -0.2820161626232633, 'avg_pnl_ci_u': -0.1344673052660284}",COMPLETE
20,-19.11681095328041,2025-08-20 20:35:24.383757,2025-08-20 20:41:17.901144,0 days 00:05:53.517387,1.5,48,128,3,4,0.95,0.01,0.01,False,False,"{'final_capital': 994.1715817646018, 'total_return_pct': -0.5828418235398258, 'ann_sharpe': -19.11681095328041, 'max_drawdown_pct': -0.559656012587088, 'num_executed': 28, 'win_rate': 0.14285714285714285, 'avg_pnl': -0.20815779412136476, 'profit_factor': 0.07869024562044599, 'avg_pnl_ci_l': -0.26979390074955034, 'avg_pnl_ci_u': -0.14858897460874004}",COMPLETE
12,-19.29909298772198,2025-08-20 19:51:25.791334,2025-08-20 19:57:10.572656,0 days 00:05:44.781322,2.5,72,128,3,4,0.95,0.01,0.01,False,False,"{'final_capital': 993.3629804177265, 'total_return_pct': -0.6637019582273473, 'ann_sharpe': -19.29909298772198, 'max_drawdown_pct': -0.640535005264839, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.22123398607577874, 'profit_factor': 0.06971199152036126, 'avg_pnl_ci_l': -0.28330559328120364, 'avg_pnl_ci_u': -0.151512962853462}",COMPLETE
