decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-03 22:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-03 23:00:00,114324.84,2025-08-04 00:00:00,114135.4857142857,0.0007872304916411866,90.0,-0.14906546743722568,0.1798509345325628,0.0899254672662814,-0.4188418692360698,999.5811581307639,121572.01548163053,121572.01548163053,121572.01548163053,0.063391176541706,0.063391176541706,0.063391176541706,1.0,False,trailing_sl
2025-08-03 23:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 00:00:00,114208.81,2025-08-04 00:00:00,114135.4857142857,0.0007877002153491377,89.96230423176875,-0.057757555647468296,0.17986685090789004,0.08993342545394502,-0.32755783200930333,999.2536002987546,121455.79332331024,121455.79332331024,121455.79332331024,0.06345389605100688,0.06345389605100688,0.06345389605100688,1.0,False,trailing_sl
2025-08-04 00:00:00,2025-07-27 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,999.2536002987546,114581.91470429371,114581.91470429371,114581.91470429371,-0.0027672380804807197,-0.0027672380804807197,-0.0027672380804807197,0.0,False,none
2025-08-04 01:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 02:00:00,114671.96,2025-08-04 06:00:00,114423.76,0.0007842616802476203,89.93282402688791,-0.1946537490374685,0.17967099430473837,0.08983549715236919,-0.46416024049457605,998.78944005826,121572.01548163053,121572.01548163053,121572.01548163053,0.0601721247428798,0.0601721247428798,0.0601721247428798,1.0,False,time_exit
2025-08-04 02:00:00,2025-07-27 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.78944005826,116274.6571105261,116274.6571105261,116274.6571105261,0.012863973213151995,0.012863973213151995,0.012863973213151995,1.0,False,none
2025-08-04 03:00:00,2025-07-27 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.78944005826,114417.8532504366,114417.8532504366,114417.8532504366,-0.001333297863766278,-0.001333297863766278,-0.001333297863766278,0.0,False,none
2025-08-04 04:00:00,2025-07-27 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.78944005826,118685.6239852155,118685.6239852155,118685.6239852155,0.037610950046711215,0.037610950046711215,0.037610950046711215,1.0,False,none
2025-08-04 05:00:00,2025-07-27 23:00:00,STRONG_BUY,LONG,2025-08-04 06:00:00,114391.26,2025-08-04 10:00:00,114251.83,0.0007858209587449549,89.8910496052434,-0.10956701627780356,0.179672532194209,0.0898362660971045,-0.37907581456911704,998.4103642436909,121283.64276957397,121283.64276957397,121283.64276957397,0.060252704354982846,0.060252704354982846,0.060252704354982846,1.0,False,time_exit
2025-08-04 06:00:00,2025-07-27 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4103642436909,119838.01333091376,119838.01333091376,119838.01333091376,0.04731756176264235,0.04731756176264235,0.04731756176264235,1.0,False,none
2025-08-04 07:00:00,2025-07-27 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,998.4103642436909,113025.71125925654,113025.71125925654,113025.71125925654,-0.014192905257870442,-0.014192905257870442,-0.014192905257870442,0.0,False,none
